,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Failure Type
8865,Low,297.9,309.0,1290.0,49.8,43.0,No Failure
8866,High,297.9,308.9,1416.0,39.6,45.0,No Failure
8867,Low,297.9,308.9,1566.0,41.9,50.0,No Failure
8868,Low,297.9,309.0,1456.0,46.5,52.0,No Failure
8869,Low,297.9,309.0,1528.0,37.5,54.0,No Failure
8870,Medium,297.9,309.1,1338.0,49.6,56.0,No Failure
8871,Medium,297.9,309.1,1558.0,39.2,59.0,No Failure
8872,Medium,297.9,309.1,1614.0,38.1,62.0,No Failure
8873,High,298.0,309.1,1557.0,36.4,65.0,No Failure
8874,Low,298.1,309.3,1443.0,45.3,70.0,No Failure
8875,High,298.1,309.3,1332.0,51.0,72.0,No Failure
8876,Medium,298.1,309.3,1752.0,25.2,77.0,No Failure
8877,Medium,298.1,309.2,1460.0,45.8,80.0,No Failure
8878,Low,298.1,309.2,1802.0,26.9,83.0,No Failure
8879,Low,298.0,309.2,1527.0,39.5,85.0,No Failure
8880,Low,298.0,309.2,1458.0,39.8,87.0,No Failure
8881,High,298.0,309.2,1520.0,37.9,89.0,No Failure
8882,Low,298.0,309.2,1378.0,49.7,94.0,No Failure
8883,Medium,297.9,309.2,1529.0,38.1,96.0,No Failure
8884,Low,298.0,309.2,1527.0,32.4,99.0,No Failure
8885,Medium,298.0,309.2,1438.0,42.9,101.0,No Failure
8886,Low,297.9,309.0,1583.0,36.7,104.0,No Failure
8887,Low,297.8,308.9,1530.0,37.6,106.0,No Failure
8888,Medium,297.7,308.9,1530.0,39.1,108.0,No Failure
8889,Medium,297.7,308.8,1895.5,19.1,111.0,No Failure
8890,Low,297.7,308.8,1616.0,34.2,114.0,No Failure
8891,Medium,297.7,308.9,1681.0,28.3,116.0,No Failure
8892,Low,297.6,308.8,1475.0,43.0,119.0,No Failure
8893,Low,297.5,308.7,1371.0,46.5,121.0,No Failure
8894,Medium,297.5,308.7,1546.0,38.0,123.0,No Failure
8895,High,297.4,308.6,1461.0,40.1,126.0,No Failure
8896,Low,297.4,308.7,1638.0,31.9,131.0,No Failure
8897,Medium,297.3,308.7,1577.0,35.6,133.0,No Failure
8898,Low,297.4,308.6,1532.0,38.7,136.0,No Failure
8899,Medium,297.3,308.5,1710.0,27.7,138.0,No Failure
8900,Medium,297.3,308.6,1584.0,29.4,141.0,No Failure
8901,Low,297.3,308.6,1446.0,50.1,144.0,No Failure
8902,High,297.4,308.7,1522.0,46.3,146.0,No Failure
8903,Medium,297.4,308.7,1382.0,49.9,151.0,No Failure
8904,Low,297.4,308.7,1584.0,38.2,154.0,No Failure
8905,Low,297.3,308.6,1385.0,55.2,156.0,No Failure
8906,Low,297.3,308.7,1592.0,34.4,158.0,No Failure
8907,Medium,297.2,308.6,1404.0,43.7,160.0,No Failure
8908,Low,297.2,308.5,1518.0,44.3,163.0,No Failure
8909,Low,297.1,308.4,1529.0,40.4,165.0,No Failure
8910,Low,297.1,308.4,1550.0,37.0,167.0,No Failure
8911,Low,297.1,308.3,1773.0,23.8,169.0,No Failure
8912,Low,297.2,308.5,1446.0,43.7,171.0,No Failure
8913,Medium,297.2,308.5,1487.0,46.9,173.0,No Failure
8914,Medium,297.3,308.5,1524.0,49.3,176.0,No Failure
8915,Low,297.1,308.3,1403.0,54.1,179.0,No Failure
8916,Low,297.1,308.2,1895.5,15.7,181.0,No Failure
8917,Medium,297.1,308.2,1529.0,37.9,183.0,No Failure
8918,Low,297.1,308.2,1402.0,51.2,186.0,No Failure
8919,Low,297.2,308.3,1693.0,28.0,188.0,No Failure
8920,Low,297.1,308.3,1496.0,45.8,190.0,No Failure
8921,Low,297.1,308.1,1633.0,33.3,192.0,No Failure
8922,Low,297.1,308.2,1399.0,42.6,194.0,No Failure
8923,Medium,297.0,308.1,1363.0,45.3,196.0,No Failure
8924,High,297.1,308.2,1527.0,42.2,199.0,No Failure
8925,Medium,297.2,308.2,1405.0,42.5,204.0,No Failure
8926,Medium,297.3,308.3,1459.0,59.6,207.0,Power Failure
8927,Medium,297.4,308.4,1789.0,25.0,210.0,No Failure
8928,Low,297.4,308.4,1531.0,41.5,213.0,No Failure
8929,Medium,297.4,308.4,1620.0,35.8,215.0,No Failure
8930,Low,297.4,308.4,1571.0,39.4,0.0,No Failure
8931,Low,297.4,308.4,1434.0,39.9,2.0,No Failure
8932,Low,297.4,308.4,1474.0,43.6,4.0,No Failure
8933,Medium,297.3,308.3,1544.0,41.7,6.0,No Failure
8934,Low,297.3,308.2,1601.0,35.7,9.0,No Failure
8935,Low,297.4,308.3,1801.0,26.9,11.0,No Failure
8936,Low,297.4,308.3,1465.0,42.0,13.0,No Failure
8937,Medium,297.4,308.4,1340.0,52.6,15.0,No Failure
8938,Medium,297.4,308.4,1517.0,41.0,18.0,No Failure
8939,Medium,297.3,308.4,1434.0,44.8,21.0,No Failure
8940,High,297.3,308.3,1895.5,19.3,24.0,No Failure
8941,Medium,297.3,308.3,1595.0,32.2,29.0,No Failure
8942,Low,297.3,308.3,1895.5,17.0,32.0,No Failure
8943,Medium,297.3,308.4,1449.0,44.4,34.0,No Failure
8944,Low,297.3,308.3,1471.0,38.2,37.0,No Failure
8945,Low,297.4,308.2,1639.0,33.8,39.0,No Failure
8946,Medium,297.3,308.2,1846.0,24.5,41.0,No Failure
8947,Medium,297.3,308.2,1452.0,38.2,44.0,No Failure
8948,Medium,297.4,308.3,1483.0,41.9,47.0,No Failure
8949,Low,297.4,308.3,1284.0,60.3,50.0,No Failure
8950,Low,297.4,308.2,1419.0,50.0,52.0,No Failure
8951,Low,297.3,308.1,1763.0,28.4,54.0,No Failure
8952,Medium,297.2,308.0,1478.0,42.5,56.0,No Failure
8953,Low,297.3,308.0,1518.0,36.0,59.0,No Failure
8954,Low,297.3,308.0,1447.0,49.0,61.0,No Failure
8955,Medium,297.4,308.0,1355.0,55.1,63.0,No Failure
8956,Low,297.4,308.1,1348.0,57.4,66.0,No Failure
8957,Low,297.4,308.1,1348.0,53.7,68.0,No Failure
8958,Medium,297.4,308.1,1734.0,27.7,70.0,No Failure
8959,Low,297.3,308.0,1420.0,46.5,73.0,No Failure
8960,Low,297.3,307.9,1797.0,24.7,75.0,No Failure
8961,Medium,297.3,308.0,1403.0,45.0,77.0,No Failure
8962,Low,297.3,307.9,1628.0,30.2,80.0,No Failure
8963,Medium,297.2,307.9,1687.0,30.4,82.0,No Failure
8964,Medium,297.2,307.9,1456.0,44.9,85.0,No Failure
8965,Low,297.1,307.9,1496.0,44.7,88.0,No Failure
8966,Low,297.1,307.8,1636.0,30.3,90.0,No Failure
8967,Low,297.1,307.8,1536.0,40.4,92.0,No Failure
8968,Low,297.1,307.8,1454.0,50.6,94.0,No Failure
8969,Low,297.0,307.8,1396.0,50.0,96.0,No Failure
8970,Low,297.0,307.6,1575.0,37.4,98.0,No Failure
8971,Low,296.9,307.6,1514.0,35.7,100.0,No Failure
8972,Medium,296.8,307.4,1455.0,49.9,102.0,No Failure
8973,Low,296.8,307.4,1549.0,48.3,105.0,No Failure
8974,Low,296.8,307.5,1474.0,42.4,107.0,No Failure
8975,High,296.7,307.4,1661.0,34.2,109.0,No Failure
8976,Low,296.7,307.4,1535.0,34.6,114.0,No Failure
8977,Medium,296.9,307.5,1556.0,31.2,116.0,No Failure
8978,Low,296.9,307.6,1435.0,45.0,119.0,No Failure
8979,Medium,296.9,307.5,1332.0,51.1,121.0,No Failure
8980,Low,297.0,307.6,1513.0,42.4,124.0,No Failure
8981,Low,297.0,307.7,1502.0,39.4,126.0,No Failure
8982,Low,297.0,307.7,1315.0,60.1,128.0,No Failure
8983,Medium,297.0,307.7,1261.0,51.1,130.0,No Failure
8984,Low,297.1,307.8,1406.0,60.4,133.0,No Failure
8985,Low,297.1,307.8,1584.0,42.3,135.0,No Failure
8986,Medium,297.1,307.8,1443.0,43.9,137.0,No Failure
8987,Low,297.2,307.9,1580.0,35.8,140.0,No Failure
8988,Low,297.2,307.9,1825.0,24.6,142.0,No Failure
8989,Low,297.2,307.9,1469.0,48.2,144.0,No Failure
8990,Low,297.2,307.9,1493.0,38.4,146.0,No Failure
8991,Medium,297.3,308.0,1598.0,29.4,148.0,No Failure
8992,High,297.2,307.9,1450.0,37.2,151.0,No Failure
8993,Medium,297.2,307.9,1632.0,37.5,156.0,No Failure
8994,Medium,297.1,307.9,1895.5,20.3,159.0,No Failure
8995,Low,297.2,308.0,1474.0,43.7,162.0,No Failure
8996,Low,297.2,307.9,1540.0,37.1,164.0,No Failure
8997,Medium,297.1,307.9,1609.0,38.9,166.0,No Failure
8998,Low,297.1,308.0,1467.0,42.8,169.0,No Failure
8999,Low,297.1,307.9,1492.0,39.4,171.0,No Failure
9000,Low,297.0,307.9,1493.0,46.1,173.0,No Failure
9001,Low,297.0,307.8,1500.0,39.9,175.0,No Failure
9002,Low,297.1,307.8,1477.0,36.6,177.0,No Failure
9003,Low,297.1,307.9,1342.0,49.1,179.0,No Failure
9004,Medium,297.1,307.8,1538.0,34.3,181.0,No Failure
9005,Low,297.2,307.9,1337.0,58.1,184.0,No Failure
9006,Low,297.3,307.9,1417.0,41.8,186.0,No Failure
9007,Low,297.4,308.0,1383.0,46.2,188.0,No Failure
9008,Medium,297.4,308.0,1440.0,42.4,190.0,No Failure
9009,Low,297.3,307.9,1579.0,34.4,193.0,No Failure
9010,Low,297.2,307.9,1441.0,40.0,195.0,No Failure
9011,Medium,297.2,307.9,1530.0,35.9,197.0,No Failure
9012,Low,297.2,308.0,1705.0,26.0,200.0,No Failure
9013,High,297.2,308.0,1435.0,43.0,202.0,No Failure
9014,Medium,297.2,308.1,1340.0,61.3,207.0,Overstrain Failure
9015,Low,297.2,308.1,1431.0,49.7,210.0,No Failure
9016,Low,297.3,308.2,1396.0,52.7,212.0,Overstrain Failure
9017,Medium,297.3,308.1,1369.0,52.0,214.0,No Failure
9018,Low,297.3,308.1,1615.0,35.4,217.0,Tool Wear Failure
9019,Low,297.2,308.1,1662.0,31.3,0.0,No Failure
9020,Low,297.3,308.2,1553.0,33.5,2.0,No Failure
9021,Medium,297.4,308.2,1536.0,34.6,4.0,No Failure
9022,Low,297.4,308.3,1548.0,46.6,7.0,No Failure
9023,Low,297.4,308.3,1706.0,30.9,9.0,No Failure
9024,Low,297.4,308.3,1366.0,45.5,11.0,No Failure
9025,Low,297.5,308.4,1440.0,35.9,13.0,No Failure
9026,Medium,297.5,308.4,1685.0,28.1,15.0,No Failure
9027,Medium,297.4,308.3,1444.0,44.0,18.0,No Failure
9028,Low,297.4,308.3,1395.0,48.7,21.0,No Failure
9029,Low,297.4,308.3,1483.0,38.8,23.0,No Failure
9030,Medium,297.5,308.4,1403.0,44.3,25.0,No Failure
9031,High,297.5,308.4,1793.0,23.9,28.0,No Failure
9032,Low,297.4,308.3,1723.0,28.8,33.0,No Failure
9033,Low,297.4,308.2,1386.0,41.0,35.0,No Failure
9034,High,297.4,308.2,1585.0,46.2,37.0,No Failure
9035,Medium,297.3,308.1,1731.0,27.7,42.0,No Failure
9036,Low,297.3,308.3,1519.0,37.7,45.0,No Failure
9037,Low,297.3,308.2,1895.5,24.4,47.0,No Failure
9038,Low,297.3,308.3,1895.5,14.9,49.0,No Failure
9039,Medium,297.3,308.3,1341.0,51.9,51.0,No Failure
9040,Low,297.3,308.3,1550.0,37.0,54.0,No Failure
9041,Low,297.3,308.3,1309.0,61.5,56.0,No Failure
9042,Medium,297.3,308.4,1599.0,32.9,58.0,No Failure
9043,Low,297.4,308.4,1343.0,40.0,61.0,No Failure
9044,Low,297.4,308.4,1378.0,39.9,63.0,No Failure
9045,Low,297.4,308.4,1603.0,34.6,65.0,No Failure
9046,Low,297.4,308.4,1664.0,28.1,67.0,No Failure
9047,Low,297.3,308.4,1488.0,37.4,69.0,No Failure
9048,Medium,297.3,308.4,1370.0,50.5,71.0,No Failure
9049,Low,297.3,308.5,1545.0,34.3,74.0,No Failure
9050,Medium,297.4,308.5,1566.0,31.4,76.0,No Failure
9051,Low,297.4,308.6,1820.0,24.6,79.0,No Failure
9052,Medium,297.4,308.6,1895.5,22.1,81.0,No Failure
9053,Medium,297.4,308.5,1638.0,32.2,84.0,No Failure
9054,Medium,297.3,308.4,1521.0,38.2,87.0,No Failure
9055,High,297.3,308.4,1864.0,23.1,90.0,No Failure
9056,Low,297.3,308.3,1430.0,41.9,95.0,No Failure
9057,Medium,297.3,308.4,1686.0,34.5,97.0,No Failure
9058,Medium,297.2,308.3,1326.0,57.2,100.0,No Failure
9059,Low,297.2,308.3,1805.0,25.6,103.0,No Failure
9060,High,297.2,308.3,1453.0,45.8,105.0,No Failure
9061,Medium,297.2,308.4,1863.0,26.0,110.0,No Failure
9062,Low,297.2,308.3,1576.0,35.3,113.0,No Failure
9063,Low,297.2,308.3,1419.0,39.7,115.0,No Failure
9064,Low,297.2,308.4,1833.0,25.2,117.0,No Failure
9065,High,297.2,308.4,1895.5,17.3,119.0,No Failure
9066,Low,297.2,308.3,1656.0,30.3,124.0,No Failure
9067,Low,297.1,308.2,1351.0,56.6,126.0,No Failure
9068,High,297.1,308.2,1790.0,30.3,128.0,No Failure
9069,Medium,297.2,308.2,1678.0,28.1,133.0,No Failure
9070,Low,297.1,308.2,1427.0,45.2,136.0,No Failure
9071,Low,297.0,308.1,1429.0,54.0,138.0,No Failure
9072,High,297.2,308.1,1770.0,27.2,140.0,No Failure
9073,Low,297.2,308.1,1689.0,31.2,145.0,No Failure
9074,Medium,297.2,308.1,1554.0,41.3,147.0,No Failure
9075,Low,297.3,308.1,1506.0,36.0,150.0,No Failure
9076,Low,297.2,308.1,1474.0,44.3,152.0,No Failure
9077,Low,297.3,308.1,1762.0,26.1,154.0,No Failure
9078,Low,297.3,308.1,1566.0,35.7,156.0,No Failure
9079,High,297.3,308.1,1554.0,42.4,158.0,No Failure
9080,Low,297.2,308.0,1869.0,25.4,163.0,No Failure
9081,Low,297.3,308.0,1527.0,35.1,165.0,No Failure
9082,Low,297.2,307.9,1309.0,49.6,167.0,No Failure
9083,Medium,297.2,307.9,1541.0,35.7,169.0,No Failure
9084,Low,297.2,307.9,1326.0,67.19999999999999,172.0,Power Failure
9085,High,297.1,307.9,1365.0,54.0,174.0,No Failure
9086,Low,297.1,307.8,1428.0,43.7,179.0,No Failure
9087,Low,297.1,307.8,1681.0,27.6,181.0,No Failure
9088,Medium,297.1,307.9,1662.0,26.9,183.0,No Failure
9089,Low,297.2,307.9,1895.5,20.3,186.0,No Failure
9090,Medium,297.2,307.9,1747.0,29.0,188.0,No Failure
9091,Medium,297.2,308.0,1765.0,31.1,191.0,No Failure
9092,Low,297.3,308.1,1568.0,34.4,194.0,No Failure
9093,Medium,297.3,308.1,1709.0,30.6,196.0,No Failure
9094,Medium,297.3,308.1,1370.0,58.8,199.0,No Failure
9095,Low,297.3,308.1,1458.0,45.7,202.0,No Failure
9096,Low,297.2,308.1,1712.0,30.9,204.0,No Failure
9097,Low,297.3,308.1,1642.0,36.9,206.0,No Failure
9098,Low,297.3,308.1,1468.0,49.8,0.0,No Failure
9099,High,297.3,308.1,1477.0,52.3,2.0,No Failure
9100,Low,297.3,308.2,1446.0,53.5,7.0,No Failure
9101,High,297.3,308.2,1653.0,31.4,9.0,No Failure
9102,Low,297.3,308.3,1494.0,38.2,14.0,No Failure
9103,Low,297.3,308.2,1490.0,41.0,16.0,No Failure
9104,Medium,297.4,308.3,1550.0,47.8,18.0,No Failure
9105,Medium,297.3,308.2,1677.0,34.9,21.0,No Failure
9106,Low,297.4,308.3,1854.0,21.8,24.0,No Failure
9107,Medium,297.5,308.5,1662.0,30.3,26.0,No Failure
9108,Medium,297.5,308.6,1440.0,38.8,29.0,No Failure
9109,Low,297.5,308.6,1513.0,39.7,32.0,No Failure
9110,Medium,297.6,308.6,1389.0,49.0,34.0,No Failure
9111,Low,297.6,308.6,1351.0,51.0,37.0,No Failure
9112,Medium,297.6,308.6,1482.0,38.3,39.0,No Failure
9113,Low,297.6,308.6,1744.0,28.5,42.0,No Failure
9114,Low,297.6,308.7,1476.0,39.0,44.0,No Failure
9115,Medium,297.6,308.6,1444.0,48.2,46.0,No Failure
9116,High,297.6,308.7,1659.0,32.1,49.0,No Failure
9117,Medium,297.6,308.7,1475.0,46.6,54.0,No Failure
9118,Low,297.6,308.6,1526.0,42.1,57.0,No Failure
9119,Medium,297.4,308.4,1675.0,29.5,59.0,No Failure
9120,Low,297.4,308.4,1525.0,38.7,62.0,No Failure
9121,Low,297.3,308.3,1396.0,45.9,64.0,No Failure
9122,Low,297.4,308.4,1580.0,41.2,66.0,No Failure
9123,Low,297.4,308.5,1462.0,42.8,68.0,No Failure
9124,Low,297.4,308.4,1426.0,50.4,70.0,No Failure
9125,Low,297.4,308.5,1569.0,34.2,72.0,No Failure
9126,Low,297.4,308.5,1477.0,40.7,74.0,No Failure
9127,Low,297.4,308.5,1761.0,27.2,76.0,No Failure
9128,Medium,297.5,308.6,1486.0,45.9,78.0,No Failure
9129,Low,297.6,308.6,1664.0,30.1,81.0,No Failure
9130,Low,297.6,308.6,1576.0,32.7,83.0,No Failure
9131,High,297.6,308.6,1463.0,46.7,85.0,No Failure
9132,Medium,297.6,308.6,1585.0,42.0,90.0,No Failure
9133,Low,297.7,308.7,1479.0,45.7,93.0,No Failure
9134,Low,297.7,308.7,1449.0,40.2,95.0,No Failure
9135,High,297.7,308.8,1404.0,50.3,97.0,No Failure
9136,Low,297.7,308.7,1694.0,29.1,102.0,No Failure
9137,Low,297.7,308.7,1731.0,28.4,104.0,No Failure
9138,Low,297.6,308.6,1522.0,37.0,106.0,No Failure
9139,Low,297.5,308.5,1536.0,36.9,108.0,No Failure
9140,Low,297.5,308.5,1373.0,39.9,110.0,No Failure
9141,Low,297.5,308.5,1597.0,36.4,112.0,No Failure
9142,Low,297.6,308.5,1678.0,34.2,114.0,No Failure
9143,Low,297.6,308.5,1452.0,42.6,116.0,No Failure
9144,Medium,297.5,308.5,1447.0,41.6,118.0,No Failure
9145,Low,297.6,308.5,1574.0,37.1,121.0,No Failure
9146,Low,297.6,308.6,1528.0,40.0,123.0,No Failure
9147,Low,297.7,308.7,1688.0,27.2,125.0,No Failure
9148,Low,297.6,308.6,1393.0,40.4,127.0,No Failure
9149,Medium,297.5,308.6,1429.0,50.5,129.0,No Failure
9150,Medium,297.5,308.6,1347.0,57.0,132.0,No Failure
9151,Low,297.6,308.6,1553.0,40.5,135.0,No Failure
9152,Low,297.5,308.6,1260.0,53.6,137.0,No Failure
9153,Low,297.5,308.6,1546.0,33.8,139.0,No Failure
9154,Low,297.5,308.6,1596.0,36.0,141.0,No Failure
9155,Low,297.5,308.5,1340.0,57.4,143.0,No Failure
9156,Medium,297.5,308.4,1369.0,54.8,145.0,No Failure
9157,Low,297.5,308.5,1462.0,52.3,148.0,No Failure
9158,High,297.4,308.4,1487.0,46.2,150.0,No Failure
9159,Medium,297.5,308.6,1510.0,35.5,155.0,No Failure
9160,High,297.5,308.5,1671.0,28.0,158.0,No Failure
9161,Medium,297.5,308.5,1612.0,30.0,163.0,No Failure
9162,Medium,297.6,308.6,1509.0,39.7,166.0,No Failure
9163,Low,297.6,308.6,1415.0,47.3,169.0,No Failure
9164,Low,297.6,308.6,1895.5,14.4,171.0,No Failure
9165,Low,297.6,308.6,1326.0,62.4,173.0,No Failure
9166,Medium,297.6,308.6,1390.0,53.4,175.0,No Failure
9167,Medium,297.6,308.7,1392.0,41.2,178.0,No Failure
9168,High,297.6,308.8,1385.0,44.4,181.0,No Failure
9169,Low,297.7,308.8,1895.5,24.5,186.0,No Failure
9170,Low,297.7,308.7,1474.0,46.8,188.0,No Failure
9171,Medium,297.7,308.8,1388.0,45.6,190.0,No Failure
9172,Low,297.7,308.9,1715.0,27.2,193.0,No Failure
9173,High,297.8,308.9,1650.0,32.2,195.0,No Failure
9174,Low,297.8,308.9,1871.0,25.6,200.0,Tool Wear Failure
9175,Low,297.8,309.0,1403.0,64.2,0.0,Power Failure
9176,Low,297.8,308.9,1518.0,40.4,2.0,No Failure
9177,Low,297.9,309.1,1504.0,43.0,4.0,No Failure
9178,Low,297.8,309.0,1340.0,56.9,6.0,No Failure
9179,High,297.9,309.1,1435.0,44.7,8.0,No Failure
9180,Low,297.9,309.1,1507.0,36.9,13.0,No Failure
9181,Low,297.9,309.1,1521.0,36.1,15.0,No Failure
9182,Medium,297.8,309.0,1576.0,45.0,17.0,No Failure
9183,Low,297.9,309.1,1543.0,36.6,20.0,No Failure
9184,Low,298.0,309.2,1665.0,36.6,22.0,No Failure
9185,Low,297.9,309.1,1442.0,50.3,24.0,No Failure
9186,Low,297.9,309.0,1629.0,29.0,26.0,No Failure
9187,Low,297.9,309.0,1379.0,47.3,28.0,No Failure
9188,Low,297.9,309.0,1502.0,40.2,30.0,No Failure
9189,Low,297.9,309.1,1595.0,32.0,32.0,No Failure
9190,Medium,298.0,309.0,1439.0,38.5,34.0,No Failure
9191,Medium,297.9,309.0,1895.5,21.6,37.0,No Failure
9192,Low,297.9,309.0,1562.0,35.8,40.0,No Failure
9193,Medium,297.9,309.0,1530.0,40.9,42.0,No Failure
9194,Low,297.9,308.9,1393.0,40.6,45.0,No Failure
9195,Low,297.9,309.0,1532.0,37.6,47.0,No Failure
9196,Low,298.0,308.9,1607.0,37.7,49.0,No Failure
9197,Medium,297.9,308.8,1469.0,49.0,51.0,No Failure
9198,Medium,297.9,308.8,1538.0,37.6,54.0,No Failure
9199,Low,297.9,308.8,1613.0,31.4,57.0,No Failure
9200,Medium,297.9,308.8,1602.0,32.1,59.0,No Failure
9201,Low,297.8,308.7,1404.0,44.2,62.0,No Failure
9202,Low,297.8,308.8,1548.0,36.9,64.0,No Failure
9203,Low,297.8,308.8,1559.0,35.2,66.0,No Failure
9204,Low,297.8,308.8,1621.0,36.1,68.0,No Failure
9205,Low,297.8,308.8,1579.0,32.9,70.0,No Failure
9206,Medium,297.9,308.9,1547.0,44.0,72.0,No Failure
9207,Low,297.9,308.8,1386.0,48.6,75.0,No Failure
9208,Low,298.0,308.9,1406.0,40.9,77.0,No Failure
9209,Medium,298.0,309.0,1393.0,55.9,79.0,No Failure
9210,Medium,297.9,309.0,1895.5,13.9,82.0,No Failure
9211,Medium,298.0,309.0,1409.0,49.1,85.0,No Failure
9212,Low,298.0,308.9,1390.0,53.9,88.0,No Failure
9213,Low,298.0,309.0,1679.0,32.4,90.0,No Failure
9214,Low,298.0,308.9,1508.0,37.1,92.0,No Failure
9215,Low,297.9,308.8,1681.0,31.7,94.0,No Failure
9216,High,297.7,308.8,1469.0,43.7,96.0,No Failure
9217,Low,297.8,308.8,1421.0,49.6,101.0,No Failure
9218,Low,297.7,308.8,1354.0,50.2,103.0,No Failure
9219,Medium,297.7,308.8,1350.0,57.0,105.0,No Failure
9220,Low,297.8,308.9,1282.0,58.1,108.0,No Failure
9221,Medium,297.8,309.0,1675.0,30.0,110.0,No Failure
9222,Medium,297.9,309.0,1525.0,38.5,113.0,No Failure
9223,Low,297.9,309.0,1382.0,43.9,116.0,No Failure
9224,Low,297.9,309.0,1450.0,46.8,118.0,No Failure
9225,Low,298.0,309.1,1820.0,23.6,120.0,No Failure
9226,Low,298.0,309.1,1822.0,23.5,122.0,No Failure
9227,Low,298.0,309.1,1473.0,44.3,124.0,No Failure
9228,Medium,298.1,309.1,1572.0,37.5,126.0,No Failure
9229,Medium,298.1,309.0,1895.5,17.8,129.0,No Failure
9230,Low,298.2,309.2,1895.5,22.6,132.0,No Failure
9231,Low,298.2,309.1,1539.0,36.5,134.0,No Failure
9232,Low,298.2,309.1,1350.0,52.0,136.0,No Failure
9233,Low,298.3,309.1,1403.0,45.1,138.0,No Failure
9234,Low,298.3,309.1,1895.5,20.3,140.0,No Failure
9235,Medium,298.2,308.9,1592.0,35.2,142.0,No Failure
9236,Low,298.1,308.7,1556.0,31.6,145.0,No Failure
9237,Medium,298.1,308.8,1811.0,25.4,147.0,No Failure
9238,Medium,298.2,308.8,1456.0,41.2,150.0,No Failure
9239,High,298.2,308.8,1436.0,51.9,153.0,No Failure
9240,Medium,298.1,308.7,1362.0,49.6,158.0,No Failure
9241,Low,298.1,308.7,1683.0,29.1,161.0,No Failure
9242,Medium,298.2,308.7,1269.0,60.9,163.0,No Failure
9243,Low,298.3,308.8,1454.0,49.0,166.0,No Failure
9244,Low,298.3,308.8,1767.0,27.3,168.0,No Failure
9245,Low,298.3,308.9,1708.0,27.3,170.0,No Failure
9246,Low,298.3,308.9,1862.0,27.0,172.0,No Failure
9247,Low,298.3,308.9,1695.0,30.7,174.0,No Failure
9248,Medium,298.3,309.1,1488.0,40.6,176.0,No Failure
9249,Low,298.3,309.0,1657.0,32.2,179.0,No Failure
9250,High,298.3,309.0,1823.0,25.9,181.0,No Failure
9251,Medium,298.2,309.1,1651.0,28.8,186.0,No Failure
9252,Medium,298.1,309.0,1533.0,36.1,189.0,No Failure
9253,Medium,298.2,309.0,1508.0,40.5,192.0,No Failure
9254,Low,298.3,309.1,1616.0,31.1,195.0,No Failure
9255,Low,298.2,309.0,1651.0,31.5,197.0,No Failure
9256,Low,298.2,309.1,1569.0,35.2,199.0,No Failure
9257,Medium,298.3,309.1,1296.0,58.7,201.0,No Failure
9258,High,298.3,309.0,1379.0,43.2,0.0,No Failure
9259,Medium,298.2,309.0,1694.0,28.0,5.0,No Failure
9260,Low,298.2,309.0,1377.0,57.8,8.0,No Failure
9261,High,298.3,309.0,1470.0,38.4,10.0,No Failure
9262,Medium,298.3,309.1,1404.0,47.0,15.0,No Failure
9263,Low,298.3,309.1,1593.0,40.1,18.0,No Failure
9264,Medium,298.3,309.0,1526.0,36.9,20.0,No Failure
9265,Medium,298.3,308.9,1390.0,49.7,23.0,No Failure
9266,Low,298.2,308.9,1737.0,25.5,26.0,No Failure
9267,Low,298.2,308.8,1362.0,57.3,28.0,No Failure
9268,Low,298.2,308.8,1666.0,31.5,30.0,No Failure
9269,Low,298.2,308.8,1354.0,60.9,32.0,No Failure
9270,Low,298.2,308.8,1302.0,60.4,34.0,No Failure
9271,Low,298.2,308.7,1895.5,20.5,36.0,No Failure
9272,Low,298.2,308.6,1353.0,54.1,38.0,No Failure
9273,High,298.2,308.7,1520.0,35.7,40.0,No Failure
9274,Low,298.2,308.7,1428.0,54.9,45.0,No Failure
9275,Low,298.2,308.7,1605.0,29.4,47.0,No Failure
9276,Low,298.1,308.7,1691.0,30.3,49.0,No Failure
9277,Low,298.2,308.7,1447.0,48.4,51.0,No Failure
9278,High,298.2,308.8,1606.0,39.9,53.0,No Failure
9279,Medium,298.2,308.8,1645.0,28.2,58.0,No Failure
9280,High,298.2,308.8,1470.0,43.3,61.0,No Failure
9281,Low,298.2,308.9,1336.0,45.0,66.0,No Failure
9282,Medium,298.2,308.9,1414.0,44.3,68.0,No Failure
9283,Medium,298.3,309.0,1802.0,27.5,71.0,No Failure
9284,Low,298.2,308.9,1683.0,31.7,74.0,No Failure
9285,Medium,298.2,309.0,1410.0,47.6,76.0,No Failure
9286,Low,298.2,308.9,1605.0,32.0,79.0,No Failure
9287,Low,298.2,308.9,1709.0,28.1,81.0,No Failure
9288,Low,298.2,308.9,1444.0,53.1,83.0,No Failure
9289,Low,298.2,308.9,1367.0,45.0,85.0,No Failure
9290,Low,298.2,309.0,1418.0,44.2,87.0,No Failure
9291,Low,298.2,309.0,1353.0,57.8,89.0,No Failure
9292,Low,298.2,309.0,1643.0,34.1,91.0,No Failure
9293,Low,298.3,309.1,1437.0,38.0,93.0,No Failure
9294,Low,298.1,309.0,1437.0,36.2,95.0,No Failure
9295,Medium,298.2,309.0,1413.0,47.9,97.0,No Failure
9296,High,298.2,309.0,1524.0,39.1,100.0,No Failure
